Date,Australia,Belgium,Brazil,Canada,Chile,Denmark,Finland,France,Germany,Hong Kong,India,Ireland,Israel,Italy,Luxembourg,Netherlands,New Zealand,Norway,Portugal,Singapore,South Africa,South Korea,Spain,Sweden,Switzerland,United Arab Emirates,United Kingdom,United States
1/1/19,1.383027786,1.195594929,1.390519683,1.25314595,1.35572217,1.268005298,1.184295708,1.140161598,1.180990981,1.32891533,1.212450053,1.2046486,1.002132548,1.320643634,1.23539573,1.187620058,1.569573825,1.364018639,1.203593001,1.165761296,1.239343676,0.937378003,1.131982127,1.080742149,1.116090972,1.493694183,1.251743534,1.246317273
2/1/19,1.391948088,1.198450598,1.396924864,1.299915753,1.438403357,1.323749133,1.145698232,1.140353534,1.185808471,1.3572951,1.228990354,1.188797357,0.986832972,1.304968355,1.374367692,1.186681069,1.54265768,1.312821621,1.202028115,1.141235456,1.288359255,0.99789745,1.159585788,1.095868897,1.155907607,1.5249778,1.280968304,1.261434331
3/1/19,1.386156321,1.227822247,1.415374867,1.303619532,1.521163079,1.303554647,1.160149318,1.12774706,1.179493142,1.377919092,1.238312394,1.256053948,1.021650488,1.332186917,1.379568174,1.177341801,1.470718398,1.36497303,1.245755488,1.149005412,1.325599553,0.99331907,1.169830669,1.114339679,1.16148281,1.501156366,1.262268216,1.260664109
4/1/19,1.383798571,1.213059716,1.410449976,1.282714857,1.561087287,1.341446174,1.165200981,1.131271386,1.176756924,1.287254996,1.248928859,1.193095581,1.084256283,1.341479833,1.271603234,1.181697736,1.4810014,1.298726963,1.198322616,1.160036391,1.413400619,1.028306151,1.213567121,1.106856712,1.176649392,1.467789146,1.25890071,1.261954774
5/1/19,1.369384099,1.196602351,1.422700333,1.305048198,1.594217508,1.318035817,1.2078407,1.112491473,1.167105876,1.342713319,1.258464013,1.154764803,1.064850814,1.308540051,1.412349564,1.205133068,1.355169744,1.267572465,1.278055633,1.135213484,1.466522337,0.991886472,1.229701004,1.102085572,1.192755809,1.376760202,1.250558249,1.260605395
6/1/19,1.339324148,1.234248754,1.365995098,1.315133062,1.504610029,1.290479763,1.271565254,1.104052928,1.169300632,1.299834793,1.255511733,1.164746723,1.069425676,1.35438954,1.337387072,1.218179997,1.293186889,1.322459247,1.257942428,1.133151774,1.528170447,1.014871324,1.24430804,1.059685656,1.193432462,1.347382785,1.273508134,1.259189365
7/1/19,1.346533371,1.260421805,1.304066443,1.322905506,1.458128178,1.259820001,1.256396071,1.12351552,1.168378682,1.284444204,1.26593462,1.207112281,1.075608338,1.348806886,1.333264359,1.213127673,1.296685681,1.292631667,1.239156465,1.144643806,1.570543803,1.001017368,1.229627109,1.093702163,1.229314447,1.305440079,1.267167465,1.257783017
8/1/19,1.355759797,1.273128028,1.305638803,1.347973389,1.442605399,1.274581359,1.282702701,1.158175934,1.164067904,1.200957966,1.27916755,1.222612217,1.056517202,1.288139069,1.218972966,1.221924033,1.241161805,1.279399319,1.224321335,1.158330651,1.5838207,1.021894987,1.243814478,1.155579972,1.236448033,1.266822311,1.25887527,1.261597145
9/1/19,1.37207639,1.297950856,1.312746258,1.346582276,1.462613124,1.276477452,1.255006661,1.156265332,1.157068691,1.241819596,1.289676453,1.257939499,1.051596427,1.302074244,1.287584623,1.219422829,1.23369216,1.259943531,1.208676537,1.140522235,1.690728345,1.020543125,1.256824897,1.177209519,1.204174065,1.294413185,1.251216657,1.262863486
10/1/19,1.37154714,1.305153262,1.30354669,1.31575733,1.510724071,1.271522253,1.280734056,1.135387398,1.143695017,1.315504116,1.295496486,1.242223299,1.043875962,1.32465497,1.375910395,1.218903488,1.277010154,1.264038107,1.246591051,1.17093558,1.662688915,1.068646798,1.263938148,1.182332067,1.186838136,1.280236083,1.239418396,1.254319298
11/1/19,1.377618123,1.303505466,1.292709282,1.314154438,1.446521832,1.258091565,1.263491711,1.133952577,1.139721751,1.28657617,1.301172635,1.21533778,1.062788319,1.299423002,1.455538906,1.202303567,1.235389226,1.254244634,1.212336303,1.194658592,1.64700712,1.084338286,1.253744164,1.155079393,1.157199822,1.210873791,1.237381524,1.248682747
12/1/19,1.36253181,1.265930349,1.256912817,1.325358418,1.459397747,1.238960814,1.308921326,1.109756759,1.14918581,1.293985875,1.299797342,1.255405575,1.109409176,1.276713847,1.466010103,1.203683266,1.275240093,1.260491925,1.226362129,1.149243648,1.632277779,1.149857265,1.265303844,1.163954679,1.181580748,1.184414734,1.273676367,1.243377075
1/1/20,1.337117124,1.273047638,1.273500286,1.328087298,1.472363576,1.248516715,1.263992267,1.100023862,1.16722873,1.262674312,1.30508022,1.274807606,1.116180067,1.273134735,1.452149338,1.205852029,1.226670837,1.249575966,1.26066435,1.172923333,1.644305772,1.158344907,1.258872966,1.1647465,1.204023868,1.218051802,1.259994683,1.237981403
2/1/20,1.335247971,1.252604437,1.271281818,1.311560899,1.505866035,1.232593376,1.270693478,1.09520214,1.170518405,1.217057224,1.309921359,1.281882683,1.127628113,1.273092753,1.374982605,1.224126957,1.282861984,1.261635669,1.219209748,1.197419487,1.64756043,1.142685962,1.249435802,1.154460042,1.17037697,1.180346612,1.249529035,1.222838463
3/1/20,1.322593666,1.243859285,1.271776424,1.312507325,1.453424298,1.255222762,1.281729319,1.120780454,1.174931323,1.20519012,1.323993362,1.276302761,1.114555145,1.285907524,1.523784967,1.236555763,1.384377972,1.254384625,1.181799491,1.191087208,1.625711614,1.177519281,1.275565529,1.132124196,1.169517712,1.197136285,1.274139814,1.238960202
4/1/20,1.324042703,1.302953278,1.301967322,1.383594203,1.509151193,1.215692313,1.256398499,1.164438456,1.192232584,1.256351981,1.408945083,1.362635924,1.098691817,1.339996165,1.541194362,1.255044472,1.425326927,1.235257286,1.226696131,1.21572982,1.58216485,1.197811414,1.293978035,1.164381887,1.1409146,1.2015018,1.31027552,1.270049626
