Year,Number of Parameters (Log Scale),Sector
2017,53000000,Industry
2017,150000000,Industry
2017,46400244,Industry
2017,8200000,Industry
2017,11360000,Industry
2016,43000000,Industry
2016,56000000,Industry
2016,278000000,Industry
2016,22855952,Industry
2016,37400000,Industry
2015,87048800,Industry
2015,1618496,Industry
2015,8209984,Industry
2015,38000000,Industry
2015,60000000,Industry
2015,1700000,Industry
2014,384000000,Industry
2013,836096,Industry
2013,6920000000,Industry
2013,207600000,Industry
1997,13000,Industry
1995,100000000,Industry
1993,1658364,Industry
1992,25000,Industry
1989,9760,Industry
1980,1140576,Industry
1959,16,Industry
1959,2625,Industry
1957,400,Industry
1950,40,Industry
2022,3500000000,Industry-Academia Collaboration
2021,10000000000,Industry-Academia Collaboration
2021,1E+11,Industry-Academia Collaboration
2021,1E+12,Industry-Academia Collaboration
2021,4000000000,Industry-Academia Collaboration
2021,1300000000,Industry-Academia Collaboration
2021,11000000000,Industry-Academia Collaboration
2020,25300000,Industry-Academia Collaboration
2019,764000,Industry-Academia Collaboration
2019,303000000,Industry-Academia Collaboration
2019,1500000000,Industry-Academia Collaboration
2019,579000000,Industry-Academia Collaboration
2019,480000000,Industry-Academia Collaboration
2017,8700000000,Industry-Academia Collaboration
2017,86000000,Industry-Academia Collaboration
2016,34000000,Industry-Academia Collaboration
2015,6797700,Industry-Academia Collaboration
2015,23626728,Industry-Academia Collaboration
1998,60000,Industry-Academia Collaboration
