Date,FLOP/s (Log Scale)
1/4/11,1.08E+12
1/4/11,2.24E+11
1/4/11,1.306E+12
1/4/11,1.536E+11
1/4/11,1.28E+12
1/4/11,1.92E+11
1/4/11,6.96E+11
1/4/11,6.96E+11
1/4/11,5.76E+11
1/4/11,4.8E+11
1/4/11,4.8E+11
1/4/11,4.32E+11
1/4/11,9.2E+11
1/4/11,2.56E+11
1/4/11,6.96E+11
1/4/11,4.32E+11
1/5/11,2.304E+11
1/5/11,1.421E+11
1/5/11,1.29E+11
1/5/11,38780000000
1/5/11,8.832E+11
1/5/11,2.58E+11
1/5/11,2.842E+11
1/5/11,38780000000
1/5/11,1.101E+11
1/7/11,44160000000
1/8/11,39360000000
1/13/11,2.688E+11
1/13/11,4.224E+11
1/15/11,2.266E+11
1/21/11,1.008E+12
1/21/11,1.36E+12
1/25/11,1.306E+12
1/28/11,6.96E+11
1/31/11,96000000000
1/31/11,1.04E+11
1/31/11,96000000000
2/1/11,6.2E+11
2/1/11,2.592E+11
2/1/11,3.1104E+11
2/1/11,1.92E+11
2/1/11,2.496E+11
2/1/11,2.112E+11
2/1/11,2.592E+11
2/1/11,96000000000
2/7/11,2E+11
2/7/11,6.24E+11
2/7/11,1.04E+11
2/7/11,5.28E+11
2/9/11,3.11E+11
2/15/11,4.16E+11
2/22/11,2.688E+11
2/22/11,44860000000
2/22/11,6.384E+11
2/22/11,6.912E+11
2/22/11,1.555E+11
2/22/11,4.32E+11
2/23/11,7.223E+11
2/23/11,7.223E+11
2/26/11,6.2E+11
3/8/11,2.55E+12
3/11/11,9.415E+11
3/12/11,44860000000
3/15/11,6.912E+11
3/15/11,6.013E+11
3/17/11,1.04E+11
3/24/11,3.398E+11
3/24/11,1.244E+12
3/30/11,1.031E+12
4/4/11,1.344E+12
4/5/11,1.08E+11
4/7/11,2E+11
4/7/11,2E+11
4/7/11,1.04E+11
4/7/11,1.92E+11
4/12/11,1.306E+12
4/13/11,1.555E+11
4/13/11,1.555E+11
4/13/11,1.555E+11
4/18/11,5.741E+11
4/19/11,5.76E+11
4/19/11,7.68E+11
4/19/11,5.76E+11
4/19/11,6.24E+11
4/25/11,5.76E+11
4/28/11,97150000000
5/1/11,76800000000
5/2/11,5.76E+11
5/2/11,5.76E+11
5/2/11,2.4E+11
5/14/11,5.2E+11
5/14/11,5.014E+11
5/14/11,4.147E+11
5/14/11,5.2E+11
5/14/11,2.688E+11
5/14/11,4.16E+11
5/14/11,8.479E+11
5/16/11,2.016E+12
5/17/11,1.089E+12
5/24/11,1.856E+12
5/24/11,1.856E+12
5/24/11,6.144E+11
5/30/11,5.952E+11
5/30/11,1.728E+11
6/6/11,1.581E+12
6/12/11,4.864E+11
6/14/11,1.28E+11
6/14/11,1.898E+11
6/14/11,2.131E+11
6/15/11,2.892E+11
6/20/11,4.8E+11
6/20/11,1.421E+11
6/20/11,2.842E+11
6/28/11,7.728E+11
6/28/11,9.523E+11
7/2/11,3.398E+11
7/2/11,1.04E+11
7/4/11,3.52E+11
7/4/11,3.52E+11
7/8/11,2.016E+12
7/12/11,1.28E+12
7/12/11,1.602E+12
7/25/11,1.332E+12
7/25/11,1.332E+12
7/25/11,1.028E+12
7/25/11,1.028E+12
7/25/11,1.028E+12
7/25/11,1.03E+12
7/25/11,1.028E+12
7/25/11,1.028E+12
7/25/11,1.332E+12
7/25/11,1.332E+12
7/25/11,1.03E+12
7/25/11,1.028E+12
7/25/11,1.176E+12
7/25/11,1.028E+12
8/15/11,81280000000
8/25/11,1.306E+12
9/19/11,1.536E+12
9/24/11,1.046E+12
9/24/11,1.046E+12
9/29/11,1.004E+11
10/5/11,4.8E+11
10/11/11,4.16E+11
10/27/11,3.024E+11
11/1/11,7.68E+11
11/1/11,1.421E+11
11/18/11,96000000000
11/20/11,1.91E+11
11/29/11,8.479E+11
11/29/11,1.3117E+12
12/1/11,1.2E+11
12/1/11,1.29E+11
12/1/11,1.92E+12
12/1/11,91200000000
12/1/11,1.417E+11
12/4/11,1.04E+11
12/7/11,3.552E+11
12/7/11,2.56E+11
12/11/11,3.84E+11
12/22/11,3.789E+12
12/25/11,6.96E+11
1/1/12,1.2E+12
1/1/12,1E+12
1/4/12,6.96E+11
1/5/12,1.04E+11
1/5/12,2E+11
1/5/12,2E+11
1/5/12,2E+11
1/5/12,1.04E+11
1/5/12,6.2E+11
1/5/12,2.4E+11
1/5/12,6.24E+11
1/5/12,5.76E+11
1/5/12,7.68E+11
1/5/12,5.76E+11
1/7/12,2.56E+11
1/7/12,3.6E+11
1/7/12,4.32E+11
1/7/12,4.8E+11
1/7/12,4.4E+11
1/7/12,4.32E+11
1/7/12,3.6E+11
1/7/12,80000000000
1/7/12,5.76E+11
1/7/12,4.8E+11
1/7/12,5.76E+11
1/7/12,1.2E+11
1/7/12,1.92E+11
1/7/12,2.24E+11
1/7/12,3.6E+11
1/7/12,2.56E+11
1/7/12,80000000000
1/31/12,2.867E+12
1/31/12,2.842E+12
1/31/12,1.229E+12
2/1/12,1.344E+11
2/7/12,6.24E+11
2/13/12,1.04E+11
2/15/12,1.28E+12
2/15/12,8.192E+11
2/17/12,5.76E+11
2/20/12,8.479E+11
3/5/12,1.761E+12
3/5/12,2.56E+12
3/22/12,3.25E+12
3/22/12,2.4E+11
3/22/12,1.824E+11
3/22/12,2.4E+11
3/22/12,1.824E+11
3/22/12,2.534E+11
3/22/12,2.4E+11
3/22/12,3.888E+11
3/22/12,8.037E+11
3/22/12,4.8E+11
3/22/12,7.296E+11
3/22/12,4.378E+11
3/22/12,7.296E+11
3/22/12,3.888E+11
3/22/12,9.523E+11
3/26/12,3.398E+11
3/26/12,3.888E+11
3/28/12,4.656E+11
4/1/12,1.008E+11
4/2/12,1.555E+11
4/2/12,1.004E+11
4/2/12,1.555E+11
4/2/12,1.555E+11
4/2/12,1.555E+11
4/4/12,44320000000
4/24/12,2.176E+12
4/24/12,1.792E+12
4/24/12,3.36E+11
4/24/12,8.94E+11
4/24/12,6.121E+11
4/24/12,1.024E+12
4/24/12,4.147E+11
4/24/12,8.64E+11
4/24/12,5.888E+11
4/24/12,6.912E+11
4/24/12,6.912E+11
5/1/12,2.289E+12
5/2/12,1.332E+12
5/3/12,3.13E+12
5/4/12,2.89E+11
5/10/12,2.634E+12
5/14/12,2.56E+11
5/14/12,3.2E+11
5/14/12,2.688E+11
5/15/12,1.267E+11
5/15/12,3.11E+11
5/15/12,2.688E+11
5/15/12,5.268E+11
5/15/12,3.354E+11
5/15/12,3.817E+11
5/15/12,3.891E+11
5/15/12,2.171E+11
6/1/12,3.264E+11
6/1/12,1.154E+12
6/1/12,2.534E+11
6/1/12,7.534E+11
6/1/12,5.722E+11
6/1/12,3.264E+11
6/4/12,2.038E+12
6/5/12,6.927E+11
6/6/12,83680000000
6/6/12,6.95E+11
6/6/12,1.677E+11
6/6/12,7.334E+11
6/6/12,2.634E+11
6/6/12,44160000000
6/6/12,80000000000
6/13/12,7.68E+11
6/13/12,2.432E+12
6/13/12,44860000000
6/14/12,3.994E+12
6/14/12,3.226E+12
