Date,FLOP/s per U.S. Dollar
2012-05-03,2458008618.73974
2012-05-10,5179018077.989474
2012-08-16,6911131147.551171
2012-09-06,5847920012.672019
2012-09-06,6786620197.064193
2012-10-09,7502968929.010067
2012-11-12,863242821.2516413
2013-02-19,3752176832.9910913
2013-03-26,7465564593.056213
2013-05-23,5097426090.940524
2013-05-30,6649400832.179699
2013-06-25,7602082854.538956
2013-07-23,785580803.2585754
2013-10-08,5168315516.568116
2013-10-08,5758980147.033044
2013-10-08,10904577793.198662
2013-10-08,10752173989.24221
2013-10-08,11287348116.934532
2013-10-24,8166019208.067031
2013-11-05,9673052767.748722
2013-11-07,6086822386.853362
2013-11-13,10530494424.420113
2013-11-22,522128204.7726977
2013-12-17,11217209037.269724
2014-02-13,10282589363.833557
2014-02-13,9935898964.816162
2014-02-18,4570958142.338339
2014-02-18,7540927469.041611
2014-02-18,7552241757.250421
2014-03-04,9695514312.441578
2014-03-27,12261006712.468573
2014-04-29,3093777632.3271513
2014-05-28,1361067195.4987662
2014-06-18,3151294271.2208695
2014-06-18,8120913473.492173
2014-09-02,10688218835.309237
2014-09-19,7339272004.169035
2014-09-19,9638267052.93617
2014-09-29,5051660231.608164
2014-11-17,1315313651.2847998
2015-01-22,9820371506.917088
2015-03-17,5424368854.890391
2015-06-02,7562259905.130972
2015-06-18,14836509606.517431
2015-06-18,11163961370.584616
2015-06-18,12603690648.51064
2015-06-18,14146544284.31156
2015-06-18,11983334682.187157
2015-06-24,10733916633.65917
2015-07-10,10574243921.136614
2015-08-20,9295856620.51887
2015-08-27,10222777746.342066
2015-08-27,11931107833.231846
2015-11-19,14051338164.260044
2016-04-26,4481843588.559839
2016-05-27,12148203109.466276
2016-06-10,13985027710.34116
2016-06-29,24042616750.7407
2016-07-06,7548633190.169888
2016-07-19,11999834443.352842
2016-07-19,11999834443.352842
2016-08-04,22633009370.022346
2016-08-08,16176343007.93578
2016-08-18,16216609001.399496
2016-10-01,1726604521.5857644
2016-10-21,18460859589.03229
2016-10-25,14009465432.919266
2016-10-25,12614245699.365467
2016-12-25,16216609001.399496
2017-02-06,5450898454.215461
2017-03-10,13588079017.133047
2017-03-10,12809220872.412018
2017-04-06,8487490080.700584
2017-04-18,25251063185.254436
2017-04-18,25989987487.53769
2017-04-18,22089905710.812122
2017-04-20,12839237625.448101
2017-04-20,12406973197.274124
2017-05-17,11799296485.41
2017-06-27,10991561351.855858
2017-07-13,7325263369.248833
2017-08-07,21249824369.987976
2017-08-07,16463862936.103004
2017-08-14,22125337292.87218
2017-10-13,14535586114.359493
2017-11-02,15270300524.611137
2017-12-01,4161328372.577526
2018-02-12,8864622402.092308
2018-03-12,11358178235.429998
2018-08-01,1399587641.6337547
2018-09-20,12361039697.155937
2018-09-20,11552061770.290289
2018-09-30,8714371875.625
2018-10-01,1345742993.1657395
2018-10-17,12836066925.539076
2018-10-17,11287612750.263773
2018-11-15,21893615971.79355
2018-12-16,13152846696.172152
2019-02-07,16796727033.133045
2019-06-03,2798076619.8874745
2019-06-03,5597425671.161892
2020-09-01,20990921111.435623
2020-09-01,37664208425.497856
2020-09-01,35994534659.65731
2020-10-05,7361708289.982791
2020-10-28,20395960963.45946
2020-10-28,28261241797.728813
2020-10-28,24697821172.336784
2020-12-01,35906188326.766914
2021-01-01,33619977983.639393
2021-01-12,35854074441.87234
2021-01-12,17730036811.91489
2021-01-13,9941541212.512
2021-03-03,25534789968.484337
2021-04-12,11427687282.243555
2021-04-12,17777316910.079998
2021-05-11,29814785597.60321
2021-05-31,26332990453.57798
2021-08-10,16470331078.416035
2021-08-11,25016452995.71504
2021-10-13,25216052354.7234
2021-11-23,16470331078.416035
2022-03-29,20010005002.50125
2022-09-20,51657285803.627266
2022-11-16,35863219349.45788
